id,last,first,pos
5110,Fasth,Viktor,G
4232,Fata,Drew,D
471,Fata,Rico,LW
5009,Faulk,Justin,D
4914,Fayne,Mark,D
11823,Fazleev,Radel,C
837,Fedorov,Fedor,LW
182,Fedoruk,Todd,LW
452,Fedotenko,Ruslan,LW
5783,Fedotov,Ivan,G
5288,Fedun,Taylor,D
3819,Fehr,Eric,RW
408,Ference,Andrew,D
391,Ferguson,Scott,D
5478,Ferland,Micheal,LW
3845,Ferland,Jonathan,RW
5527,Ferlin,Brian,RW
5350,Ferraro,Landon,C
4700,Ferriero,Benn,RW
4474,Festerling,Brett,D
5438,Fiala,Kevin,LW
353,Fiddler,Vernon,C
12006,Fidler,Miguel,LW
4496,Filatov,Nikita,LW
3813,Filppula,Valtteri,C
4236,Finger,Jeff,D
4111,Finley,Brian,G
5047,Finley,Joe,D
297,Fischer,Jiri,D
5627,Fischer,Christian,RW
850,Fisher,Mike,C
4345,Fistric,Mark,D
4455,Fitzgerald,Zach,D
11769,Fitzgerald,Cavan,D
636,Fitzgerald,Tom,RW
167,Fitzpatrick,Rory,D
3757,Fleischmann,Tomas,LW
483,Fleury,Marc-Andre,G
5422,Fleury,Haydn,D
5575,Flick,Rob,C
3779,Flinn,Ryan,LW
3738,Flood,Mark,D
5321,Florek,Justin,LW
5177,Flynn,Brian,C
472,Focht,Dan,D
5673,Foley,Erik,LW
4278,Foligno,Nick,LW
5055,Foligno,Marcus,LW
5368,Folin,Christian,D
5264,Fontaine,Justin,RW
511,Foote,Adam,D
5813,Forbort,Derek,D
5656,Forsbacka-Karlsson,Jakob,C
5210,Forsberg,Filip,C
5481,Forsberg,Anton,G
10072,Forsling,Gustav,D
4696,Fortier,Olivier,LW
613,Fortin,Jean-Francois,D
11814,Fortin,Alexandre,LW
4752,Fortunus,Maxime,D
5074,Foster,Brian,G
12038,Foster,T.J.,C
4380,Foster,Adrian,C
4408,Foster,Alex,C
919,Foster,Kurtis,D
12037,Fournier,Stefan,RW
4800,Fowler,Cam,D
11794,Fox,Dane,LW
3644,Foy,Matt,RW
4674,Franson,Cody,D
3639,Franzen,Johan,RW
4213,Fraser,Mark,D
5071,Fraser,Matt,RW
4361,Fraser,Colin,C
4651,Fraser,Jamie,D
4981,Frattin,Matt,RW
4677,Frazee,Jeff,G
9655,Frederic,Trent,C
5034,Fredheim,Kris,D
5507,Friberg,Max,LW
5918,Friesen,Alex,C
4655,Fritsch,Jamie,D
312,Fritsche,Dan,C
4528,Fritz,Mitch,LW
12346,Fritz,Tanner,C
10084,Frk,Martin,RW
5843,Froese,Byron,C
4556,Frogren,Jonas,D
4507,Frolik,Michael,C
279,Frolov,Alexander,LW
12345,Fucale,Zachary,G
4219,Fukufuji,Yutaka,G
4125,Funk,Michael,D
981,Fussey,Owen,RW
736,Gaborik,Marian,LW
5855,Gabriel,Kurtis,RW
5408,Gabriel,Oliver,LW
5700,Gabrielle,Jesse,LW
5631,Gagne,Gabriel,RW
183,Gagne,Simon,LW
4275,Gagner,Sam,C
4440,Gagnon,Aaron,C
776,Gainey,Steve,LW
5127,Galchenyuk,Alex,C
4642,Galiardi,T.J.,LW
5548,Galiev,Stanislav,RW
12035,Gallacher,Benjamin,D
5149,Gallagher,Brendan,RW
5367,Gallant,Brett,LW
735,Gamache,Simon,LW
11749,Ganly,Tyler,D
5079,Garbutt,Ryan,C
5006,Gardiner,Jake,D
5718,Garland,Conor,RW
4562,Garrison,Jason,D
5675,Gates,Brent,C
5509,Gaudet,Tyler,C
5737,Gaudette,Adam,C
5383,Gaudreau,Johnny,LW
10097,Gaudreau,Frederick,C
5847,Gaunce,Brendan,LW
4953,Gaunce,Cameron,D
3701,Gaustad,Paul,C
4248,Gauthier,Gabe,LW
8928,Gauthier,Frederik,C
9647,Gauthier,Julien,RW
5754,Gavrikov,Vladislav,D
5711,Gawdin,Glenn,C
4839,Gazdic,Luke,LW
5239,Geertsen,Mason,D
5221,Gelinas,Eric,D
