"date","pd","time","team","g_id","g_last","g_first","a1_id","a1_last","a1_first","a2_id","a2_last","a2_first"
"2016-11-03","3","2:14","LAK",3833,"Greene","Matt",3488,"Carter","Jeff",NA,NA,NA
"2016-11-03","3","9:28","PIT",3490,"Crosby","Sidney",4030,"Letang","Kris",NA,NA,NA
"2016-11-03","4","2:37","LAK",9007,"Dowd","Nic",5292,"Pearson","Tanner",4512,"Martinez","Alec"
"2016-11-05","1","4:22","PIT",898,"Kunitz","Chris",3652,"Malkin","Evgeni",4905,"Cole","Ian"
"2016-11-05","1","18:28","PIT",3490,"Crosby","Sidney",5038,"Hagelin","Carl",5892,"Sheary","Conor"
"2016-11-05","2","0:13","PIT",3490,"Crosby","Sidney",5038,"Hagelin","Carl",5310,"Dumoulin","Brian"
"2016-11-05","2","2:33","PIT",3819,"Fehr","Eric",257,"Cullen","Matt",5892,"Sheary","Conor"
"2016-11-05","2","16:28","PIT",4775,"Bonino","Nick",701,"Daley","Trevor",5038,"Hagelin","Carl"
"2016-11-08","1","1:57","PIT",5892,"Sheary","Conor",5500,"Rust","Bryan",NA,NA,NA
"2016-11-08","1","14:23","EDM",4505,"Eberle","Jordan",5576,"McDavid","Connor",4854,"Maroon","Patrick"
"2016-11-08","1","17:18","EDM",4854,"Maroon","Patrick",5576,"McDavid","Connor",4505,"Eberle","Jordan"
"2016-11-08","2","3:20","EDM",4505,"Eberle","Jordan",5576,"McDavid","Connor",NA,NA,NA
"2016-11-08","2","12:08","PIT",5038,"Hagelin","Carl",4523,"Hornqvist","Patric",701,"Daley","Trevor"
"2016-11-08","3","5:33","PIT",3652,"Malkin","Evgeni",4008,"Kessel","Phil",898,"Kunitz","Chris"
"2016-11-08","3","18:18","PIT",5892,"Sheary","Conor",NA,NA,NA,NA,NA,NA
"2016-11-10","1","7:53","PIT",3490,"Crosby","Sidney",4008,"Kessel","Phil",4030,"Letang","Kris"
"2016-11-10","1","18:09","MIN",5124,"Coyle","Charlie",3714,"Suter","Ryan",247,"Staal","Eric"
